BusinessEntityID,AccountNumber,Name,CreditRating,PreferredVendorStatus,ActiveFlag,PurchasingWebServiceURL,ModifiedDat
1492,0,Australia Bike Retailer,1,1,1,,23-01-06 0:00
1494,1,Allenson Cycles,2,2,1,,26-05-05 0:00
1496,2,Advanced Bicycles,1,1,1,,26-05-05 0:00
1498,3,"Trikes, Inc.",2,2,1,,06-03-06 0:00
1500,4,Morgan Bike Accessories,1,1,1,,05-03-06 0:00
1502,5,Cycling Master,1,1,1,,24-01-06 0:00
1504,6,Chicago Rent-All,2,2,1,,24-01-06 0:00
1506,7,Greenwood Athletic Company,1,1,1,,25-02-06 0:00
1508,8,"Compete Enterprises, Inc",1,1,1,,24-01-06 0:00
1510,9,International,1,1,1,,25-02-06 0:00
1512,10,Light Speed,1,1,1,,23-01-06 0:00
1514,11,Training Systems,1,1,1,,06-03-06 0:00
1516,12,Gardner Touring Cycles,1,1,0,,25-02-06 0:00
1518,13,International Trek Center,1,1,1,,24-01-06 0:00
1520,14,G & K Bicycle Corp.,1,1,1,,24-01-06 0:00
1522,15,First National Sport Co.,1,1,1,,25-02-06 0:00
1524,16,Recreation Place,4,4,1,,05-03-06 0:00
1526,17,International Bicycles,1,1,1,,25-02-06 0:00
1528,18,Image Makers Bike Center,1,1,1,,06-03-06 0:00
1530,19,Comfort Road Bicycles,1,1,1,,24-01-06 0:00
1532,20,Knopfler Cycles,1,1,1,,01-03-06 0:00
1534,21,Ready Rentals,1,1,1,,05-03-06 0:00
1536,22,Cruger Bike Company,1,1,1,,17-02-06 0:00
1538,23,Vista Road Bikes,3,3,1,,21-03-06 0:00
1540,24,Bergeron Off-Roads,1,1,1,,23-01-06 0:00
1542,25,Hill's Bicycle Service,1,1,1,,25-02-06 0:00
1544,26,Circuit Cycles,1,1,0,,24-01-06 0:00
1546,27,Green Lake Bike Company,1,1,1,,01-03-06 0:00
1548,28,Consumer Cycles,3,3,1,,24-01-06 0:00
1550,29,Merit Bikes,5,5,1,,06-03-06 0:00
1552,30,Sports House,1,1,1,,25-02-06 0:00
1554,31,WestAmerica Bicycle Co.,1,1,1,,21-03-06 0:00
1556,32,West Junction Cycles,1,1,1,,21-03-06 0:00
1558,33,Marsh,1,1,1,,06-03-06 0:00
1560,34,Capital Road Cycles,1,1,1,,24-01-06 0:00
1562,35,Norstan Bike Hut,1,1,1,,05-03-06 0:00
1564,36,Illinois Trek & Clothing,1,1,1,,23-01-06 0:00
1566,37,Burnett Road Warriors,1,1,1,,23-01-06 0:00
1568,38,"Custom Frames, Inc.",2,2,1,,17-02-06 0:00
1570,39,First Rate Bicycles,1,1,1,,25-02-06 0:00
1572,40,National Bike Association,1,1,1,,05-03-06 0:00
1574,41,Jeff's Sporting Goods,1,1,1,,24-01-06 0:00
1576,42,Superior Bicycles,1,1,1,,06-03-06 0:00
1578,43,"Vision Cycles, Inc.",1,1,1,,21-03-06 0:00
1580,44,"Litware, Inc.",1,1,1,www.litwareinc.com/,26-05-05 0:00
1582,45,Inner City Bikes,3,3,1,,25-02-06 0:00
1584,46,Trey Research,3,3,1,www.treyresearch.net/,25-02-06 0:00
1586,47,Mitchell Sports,1,1,1,,05-03-06 0:00
1588,48,Signature Cycles,2,2,1,,05-03-06 0:00
1590,49,SUPERSALES INC.,1,1,1,,06-03-06 0:00
1592,50,Lindell,1,1,1,,01-03-06 0:00
1594,51,Fitness Association,1,1,1,,06-03-06 0:00
1596,52,A. Datum Corporation,1,1,1,www.adatum.com/,24-01-06 0:00
1598,53,Continental Pro Cycles,3,3,1,,24-01-06 0:00
1600,54,Federal Sport,3,3,1,,25-02-06 0:00
1602,55,Beaumont Bikes,1,1,1,,23-01-06 0:00
1604,56,Bike Satellite Inc.,1,1,1,,23-01-06 0:00
1606,57,Northwind Traders,1,1,1,www.northwindtraders.com/,25-02-06 0:00
1608,58,Sport Playground,1,1,1,,05-03-06 0:00
1610,59,Hybrid Bicycle Center,1,1,1,,25-02-06 0:00
1612,60,"Midwest Sport, Inc.",1,1,1,,05-03-06 0:00
1614,61,"Reliance Fitness, Inc.",2,2,0,,05-03-06 0:00
1616,62,Aurora Bike Center,1,1,1,,09-06-05 0:00
1618,63,Metro Sport Equipment,1,1,1,,01-03-06 0:00
1620,64,Lakewood Bicycle,1,1,1,,01-03-06 0:00
1622,65,Speed Corporation,1,1,1,,05-03-06 0:00
1624,66,Competition Bike Training Systems,1,1,1,,24-01-06 0:00
1626,67,Hill Bicycle Center,1,1,1,,25-02-06 0:00
1628,68,Bicycle Specialists,1,1,1,,23-01-06 0:00
1630,69,Indiana Bicycle Center,1,1,1,,05-03-06 0:00
1632,70,Sport Fan Co.,1,1,1,,05-03-06 0:00
1634,71,GMA Ski & Bike,1,1,1,,09-06-05 0:00
1636,72,Integrated Sport Products,1,1,1,,17-02-06 0:00
1638,73,Inline Accessories,1,1,1,,25-02-06 0:00
1640,74,Legend Cycles,1,1,1,,05-03-06 0:00
1642,75,Electronic Bike Co.,1,1,1,,05-03-06 0:00
1644,76,International Sport Assoc.,1,1,1,,25-02-06 0:00
1646,77,Electronic Bike Repair & Supplies,1,1,1,,17-02-06 0:00
1648,78,Wide World Importers,2,2,1,www.wideworldimporters.com/,17-02-06 0:00
1650,79,American Bicycles and Wheels,1,1,1,,26-05-05 0:00
1652,80,Victory Bikes,5,5,1,,21-03-06 0:00
1654,81,American Bikes,1,1,1,,09-06-05 0:00
1656,82,Mountain Works,1,1,1,,05-03-06 0:00
1658,83,Crowley Sport,1,1,1,,24-01-06 0:00
1660,84,Magic Cycles,1,1,1,,25-02-06 0:00
1662,85,Northern Bike Travel,3,3,1,,05-03-06 0:00
1664,86,Anderson's Custom Bikes,1,1,1,,09-06-05 0:00
1666,87,Leaf River Terrain,1,1,1,,01-03-06 0:00
1668,88,Touring Equipment Center,1,1,1,,06-03-06 0:00
1670,89,Holiday Skate & Cycle,1,1,1,,06-03-06 0:00
1672,90,Expert Bike Co,1,1,1,,25-02-06 0:00
1674,91,Varsity Sport Co.,1,1,1,,21-03-06 0:00
1676,92,Team Athletic Co.,1,1,1,,06-03-06 0:00
1678,93,"Proseware, Inc.",4,4,0,www.proseware.com/,09-06-05 0:00
1680,94,Jackson Authority,1,1,1,,25-02-06 0:00
1682,95,"Premier Sport, Inc.",1,1,1,,05-03-06 0:00
1684,96,Professional Athletic Consultants,1,1,1,,05-03-06 0:00
1686,97,Pro Sport Industries,1,1,1,,05-03-06 0:00
1688,98,Wood Fitness,1,1,1,,21-03-06 0:00
1690,99,Bloomington Multisport,1,1,1,,23-01-06 0:00
1692,100,Carlson Specialties,2,2,1,,24-01-06 0:00
1694,101,"Compete, Inc.",1,1,1,,24-01-06 0:00
1696,102,Chicago City Saddles,1,1,1,,24-01-06 0:00
1698,103,Business Equipment Center,2,2,1,,23-01-06 0:00
